Tree,Sample1,Sample2,Sample3
tree k 2 md 10 mb 2,8.877e-01,8.877e-01,8.877e-01
tree k 2 md 10 mb 3,1.504e-01,1.778e-02,1.630e-01
tree k 2 md 10 mb 4,8.340e-29,3.170e-30,1.996e-26
tree k 2 md 3 mb 3,3.810e-01,3.810e-01,6.150e-01
tree k 2 md 3 mb 5,3.134e-03,4.123e-01,4.123e-01
tree k 2 md 3 mb 7,1.381e-03,2.445e-02,2.294e-03
tree k 2 md 5 mb 3,1.183e-03,1.274e-02,2.339e-02
tree k 2 md 5 mb 5,9.548e-09,1.702e-08,1.989e-08
tree k 2 md 5 mb 7,1.682e-07,1.084e-07,1.996e-06
tree k 3 md 10 mb 2,6.263e-01,3.952e-02,6.263e-01
tree k 3 md 10 mb 3,6.372e-02,5.389e-01,3.094e-01
tree k 3 md 10 mb 4,1.062e-127,1.050e-114,3.922e-124
tree k 3 md 3 mb 3,2.772e-01,2.772e-01,1.115e-01
tree k 3 md 3 mb 5,9.801e-01,9.801e-01,9.801e-01
tree k 3 md 3 mb 7,1.558e-02,8.802e-02,1.326e-01
tree k 3 md 5 mb 3,9.427e-03,1.160e-03,3.481e-03
tree k 3 md 5 mb 5,9.705e-02,1.548e-02,5.518e-01
tree k 3 md 5 mb 7,4.085e-43,8.962e-46,5.440e-50
tree k 5 md 10 mb 2,4.059e-02,3.729e-02,1.531e-01
tree k 5 md 10 mb 3,4.710e-01,4.710e-01,5.129e-01
tree k 5 md 10 mb 4,2.446e-299,6.063e-289,8.746e-304
tree k 5 md 3 mb 3,2.276e-01,2.276e-01,1.741e-01
tree k 5 md 3 mb 5,9.692e-01,9.692e-01,9.692e-01
tree k 5 md 3 mb 7,7.293e-05,8.223e-05,4.592e-07
tree k 5 md 5 mb 3,1.324e-02,2.042e-04,1.639e-03
tree k 5 md 5 mb 5,4.483e-38,2.074e-33,1.952e-32
tree k 5 md 5 mb 7,3.552e-33,3.519e-29,1.113e-35
